DO Number,Referenzbeleg,Date,Client Order Reference,Courier,Tracking Reference,Comission,Comission 2,
KL591374,KA522513,08.08.19,sand-M8Y4LH4,GLS Normalpaket,352559719148,,,,
KL591303,KA522566,08.08.19,sand-MK6YFH4,GLS Normalpaket,352559719155,,,,
KL591106,KA522691,08.08.19,sand-MHELFH4,GLS Normalpaket,352559719162,,,,
KL591206,KA522637,08.08.19,sand-MS5KFH4,GLS Normalpaket,352559719179,,,,
KL594302,KA523778,08.08.19,303-2516139-4394747,,143233967234,10763285651803,,,
KL589020,KA521445,08.08.19,305-3726713-4217923_2,DPD Predict,01345057491624,,,,
KL592333,KA525265,08.08.19,2465850880,GLS Paket OVL Berlin,102986807273,,,,
KL591530,KA522765,08.08.19,sand-MR3GLH4,GLS Normalpaket,352559719193,,,,
KL591613,KA522797,08.08.19,sand-MSE7LH4,GLS Normalpaket,352559719209,,,,
KL592045,KA525044,08.08.19,sand-M6SZGH4,GLS Normalpaket,352559719360,,,,
KL595627,KA525936,08.08.19,302-7903748-9613945,,143233966398,40981987891339,,,
KL596007,KA526658,08.08.19,sand-173911766007-2043129512007,GLS Normalpaket,352559719810,,,,
KL592341,KA525257,08.08.19,2465577270,,143233966329,,,,
KL595599,KA525960,08.08.19,302-9516883-5030747,,143233966381,25386253844139,,,
KL595956,KA526634,08.08.19,sand-MZXRSH4,,143233966435,,,,
KL593542,KA524459,08.08.19,305-9058905-6570712,,143233967159,00551974545779,,,
KL593441,KA524549,08.08.19,306-2739528-5322735,,143233967142,18662309420499,,,
KL593671,KA524341,08.08.19,305-4537015-7275511,,143233967173,26166540967331,,,
KL597448,KA529099,08.08.19,sand-173915494423-2035752066007,DPD Predict,01345057491516,,,,
KL593305,KA524668,08.08.19,306-7584318-7092344,,143233967067,64136514804883,,,
KL594834,KA523139,08.08.19,028-0401772-6905126,,143233967289,41233251352667,,,
KL593592,KA524414,08.08.19,305-7313326-2749106,,143233967166,37443723664123,,,
KL598375,KA529270,08.08.19,302-8746592-9602747,GLS Normalpaket,352559724753,06865373119851,,,
KL598522,KA530005,08.08.19,028-3444530-3882710,GLS Normalpaket,352559724814,26822938118299,,,
KL597785,KA529730,08.08.19,408-5739914-4803506,GLS Normalpaket,352559724715,26067501867443,,,
KL592682,KA525553,08.08.19,1090363601,GLS Normalpaket,352560297215,,,,
KL597798,KA529717,08.08.19,407-4318862-6179509,GLS Normalpaket,352559724722,50582189437555,,,
KL598407,KA529241,08.08.19,302-6227217-1344363,GLS Normalpaket,352559724890,23732369159211,,,
KL597710,KA529408,08.08.19,304-2815548-0201955,GLS Normalpaket,352559724739,54357529774891,,,
KL598483,KA530043,08.08.19,028-7066935-4983514,GLS Normalpaket,352559724913,55948034756795,,,
KL598451,KA530068,08.08.19,028-9260957-6939528,GLS Normalpaket,352559724937,40149612704715,,,
KL598452,KA530068,08.08.19,028-9260957-6939528,GLS Normalpaket,352559724944,40149612704715,,,
KL598453,KA530068,08.08.19,028-9260957-6939528,GLS Normalpaket,352559724968,40149612704715,,,
KL598454,KA530068,08.08.19,028-9260957-6939528,GLS Normalpaket,352559724975,40149612704715,,,
KL598482,KA530043,08.08.19,028-7066935-4983514,GLS Normalpaket,352559724982,55948034756795,,,
KL592454,KA525448,08.08.19,1107163826,DPD Predict,01345057491408,,,,
KL596710,KA527202,08.08.19,4291707701-A-1,DPD Predict,01345057491400,,,,
KL592460,KA525443,08.08.19,1107158846,DPD COD BUS,01345057491449,,,,
KL592462,KA525441,08.08.19,1107157398,DPD COD BUS,01345057491409,,,,
KL596595,KA527294,08.08.19,4293537902-A-1,DPD Predict,01345057491429,,,,
KL592449,KA525453,08.08.19,1107166297,DPD Predict,01345057491444,,,,
KL592450,KA525452,08.08.19,1107165127,DPD Predict,01345057491407,,,,
KL596335,KA527016,08.08.19,1907311148TZDRL,DPD Predict,01345057491401,,,,
KL588897,KA520557,08.08.19,sand-M4Z3FH4,,143233966046,,,,
KL596823,KA527116,08.08.19,1908051013T53CX,DPD Predict,01345057491397,,,,
KL596683,KA527223,08.08.19,4291933201-A-1,,143233966565,,,,
KL596827,KA527112,08.08.19,1908050745T5XH9,DPD Predict,01345057491428,,,,
KL596854,KA527087,08.08.19,1908040815TC0GM,DPD Predict,01345057491448,,,,
KL589799,KA520753,08.08.19,028-6718239-2355520,,143233966848,24823352449003,,,
KL589222,KA521442,08.08.19,408-8709531-1463552,DPD Predict,01345057491422,23287736297915,,,
KL589800,KA520752,08.08.19,028-6648778-8219502,,143233966855,29490804136115,,,
KL590047,KA521641,08.08.19,2463572600,GLS Normalpaket,352559721158,,,,
KL592555,KA525358,08.08.19,2468425940,GLS Normalpaket,352559721189,,,,
KL572723,KA507041,08.08.19,2438486760,GLS Normalpaket,352559721370,,,,
KL592725,KA525337,08.08.19,2467984320,GLS Normalpaket,352559721196,,,,
KL590055,KA521633,08.08.19,2463350640,GLS Normalpaket,352559721165,,,,
KL597397,KA528326,08.08.19,2472567310,GLS Normalpaket,352559721134,,,,
KL574597,KA509513,08.08.19,306-3257683-6820307,GLS Normalpaket,352559721400,67186664808627,,,
KL593617,KA524389,08.08.19,305-6312968-2411516,GLS Normalpaket,352559721141,61551148874139,,,
KL587564,KA519442,08.08.19,sand-M7657H4,GLS Normalpaket,352559718936,,,,
KL597332,KA528386,08.08.19,1090593561,GLS Normalpaket,352560297208,,,,
KL592638,KA525595,08.08.19,1090406809,DPD Predict,01345056172756,,,,
KL597384,KA528339,08.08.19,2472770350,GLS Normalpaket,352559721202,,,,
KL592302,KA492103,08.08.19,4261877701-A,DPD Predict,01345057491296,,,,
KL596586,KA527297,08.08.19,4293621701-A-1,DPD Predict,01345057491330,,,,
KL596578,KA527302,08.08.19,1107171143,DPD COD BUS,01345057491441,,,,
KL596589,KA527297,08.08.19,4293621701-A-1,DPD Predict,01345057491281,,,,
KL596588,KA527297,08.08.19,4293621701-A-1,DPD Predict,01345057491329,,,,
KL596585,KA527297,08.08.19,4293621701-A-1,DPD Predict,01345057491282,,,,
KL590208,KA521692,08.08.19,4289062502-A-1,DPD Predict,01345057491299,,,,
KL591180,KA522661,08.08.19,sand-MS6GFH4,GLS Normalpaket,352559720311,,,,
KL591105,KA522692,08.08.19,sand-MYELFH4,,143233966121,,,,
KL590207,KA521692,08.08.19,4289062502-A-1,DPD Predict,01345057491300,,,,
KL590518,KA522407,08.08.19,404-8254068-4311549,DPD Predict,01345057491393,66820290523419,,,
KL594621,KA523330,08.08.19,028-6947865-7525161,,143233967265,59372683144467,,,
KL586278,KA518571,08.08.19,402-3982236-6132302,,143233965957,40177411450571,,,
KL593018,KA524928,08.08.19,407-3494941-6070746,,143233967036,26001641413283,,,
KL591795,KA522943,08.08.19,sand-M3ATGH4,,143233966190,,,,
KL591817,KA522971,08.08.19,sand-MS5TGH4,,143233966206,,,,
KL592465,KA525438,08.08.19,1107152649,DPD COD BUS,01345057491410,,,,
KL592155,KA525162,08.08.19,sand-M4CFGH4,,143233966268,,,,
KL594301,KA523778,08.08.19,303-2516139-4394747,,143233967227,10763285651803,,,
KL596886,KA527058,08.08.19,1908021645TK92L,DPD Predict,01345057491403,,,,
KL598470,KA530054,08.08.19,028-8422006-7233930,DPD Predict,01345057491513,18256145003539,,,
KL592816,KA523490,08.08.19,302-2082345-0673139,GLS Normalpaket,352559720342,22533354168147,,,
KL596862,KA527082,08.08.19,1908032123TD9R4,DPD Predict,01345057491398,,,,
KL596881,KA527063,08.08.19,1908022103TIV06,DPD Predict,01345057491399,,,,
KL587543,KA519459,08.08.19,sand-MY497H4,GLS Normalpaket,352559718967,,,,
KL596863,KA527081,08.08.19,1908032056TDE2P,,143233966626,,,,
KL595104,KA526573,08.08.19,406-1205459-7577131,DPD Predict,01345057491443,24333501022179,,,
KL597066,KA528152,08.08.19,sand-ML39KH4,,143233966664,,,,
KL597352,KA528369,08.08.19,1107179456,DPD COD BUS,01345057491447,,,,
KL597079,KA528143,08.08.19,sand-M5W9KH4,,143233966671,,,,
KL597248,KA528278,08.08.19,2471510770,,143233966718,,,,
KL596883,KA527061,08.08.19,1908021731TJZFJ,DPD Predict,01345057491427,,,,
KL597087,KA528138,08.08.19,sand-M5L5KH4,,143233966688,,,,
KL597183,KA528191,08.08.19,sand-MHD4KH4,,143233966695,,,,
KL596952,KA528075,08.08.19,sand-M417KH4,GLS Paket OVL Berlin,102986806979,,,,
KL595269,KA526421,08.08.19,306-3483444-5197969,,143233967302,65049240559811,,,
KL597224,KA528301,08.08.19,2472193330,,143233966701,,,,
KL592797,KA523504,08.08.19,302-2457272-2282733,DPD Predict,01345057491551,45769558390691,,,
KL595181,KA526500,08.08.19,402-3671726-8191568,DPD Predict,01345057491358,11851000485107,,,
KL595363,KA526338,08.08.19,305-7053561-0279555,,143233967333,16447859044835,,,
KL597349,KA528372,08.08.19,1107180065,DPD COD BUS,01345057491439,,,,
KL597348,KA528372,08.08.19,1107180065,DPD COD BUS,01345057491440,,,,
KL595055,KA526620,08.08.19,408-3037008-2453943,DPD Predict,01345057491362,04477519613011,,,
KL592829,KA523477,08.08.19,302-1216336-7696303,GLS Paket OVL Berlin,102986807358,38318018603539,,,
KL597413,KA528311,08.08.19,2472343380,,143233966749,,,,
KL595059,KA526616,08.08.19,407-9727235-8368305,,143233967296,55829974692347,,,
KL595080,KA526596,08.08.19,407-3995481-4865148,DPD Predict,01345057491430,05065227899251,,,
KL596099,KA526769,08.08.19,sand-MRHGSH4,,143233966459,,,,
KL590077,KA521614,08.08.19,2462985280,,143233966091,,,,
KL590223,KA521678,08.08.19,2464620030,,143233966107,,,,
KL596363,KA526991,08.08.19,2471387500,,143233966541,,,,
KL596111,KA526759,08.08.19,sand-MCELSH4,,143233966466,,,,
KL591377,KA522511,08.08.19,sand-MRG4LH4,,143233966145,,,,
KL596301,KA526913,08.08.19,2435714990,,143233966497,,,,
KL595628,KA525936,08.08.19,302-7903748-9613945,,143233966404,40981987891339,,,
KL596718,KA527194,08.08.19,4291497602-A-1,,143233966572,,,,
KL596324,KA527027,08.08.19,1907311918TWIOP,,143233966503,,,,
KL596735,KA527182,08.08.19,4291236002-A-1,,143233966589,,,,
KL596026,KA526730,08.08.19,sand-M8LKSH4,,143233966442,,,,
KL596355,KA526998,08.08.19,1907301456U4MCI,,143233966510,,,,
KL594634,KA523317,08.08.19,028-6616308-6599537,,143233967272,69821369280715,,,
KL596359,KA526994,08.08.19,2471476320,,143233966527,,,,
KL596360,KA526994,08.08.19,2471476320,,143233966534,,,,
KL596743,KA527175,08.08.19,4290964503-A-1,,143233966596,,,,
KL593427,KA524562,08.08.19,306-3569265-4607539,,143233967128,14684662624475,,,
KL596745,KA527173,08.08.19,4290951503-A-1,,143233966602,,,,
KL595308,KA526386,08.08.19,306-0336219-2272353,,143233967319,04668278201515,,,
KL593428,KA524562,08.08.19,306-3569265-4607539,,143233967135,14684662624475,,,
KL595398,KA526308,08.08.19,305-4846553-4500356,,143233967340,17260575807963,,,
KL596773,KA527152,08.08.19,4290479202-A-1,,143233966619,,,,
KL593929,KA524108,08.08.19,304-5102463-6489955,,143233967180,42382980803443,,,
KL595781,KA525801,08.08.19,171-7122680-2752344,,143233967364,57577064816299,,,
KL594133,KA523926,08.08.19,303-7759901-6215520,,143233967197,34404166609419,,,
KL591754,KA522912,08.08.19,sand-M585LH4,,143233966176,,,,
KL592760,KA525304,08.08.19,2467094720,,143233966367,,,,
KL593126,KA524827,08.08.19,404-6725599-7378743,,143233967043,34075594383211,,,
KL594230,KA523845,08.08.19,303-4706673-0357935,,143233967203,44401683972731,,,
KL591758,KA522908,08.08.19,sand-MD95LH4,,143233966183,,,,
KL591823,KA522966,08.08.19,sand-MZRCGH4,,143233966213,,,,
KL594235,KA523840,08.08.19,303-4497546-4419521,,143233967210,59290576786571,,,
KL592243,KA525194,08.08.19,sand-MAG7GH4,,143233966299,,,,
KL593281,KA524690,08.08.19,306-8354062-7766756,,143233967050,11655713351227,,,
KL594593,KA523533,08.08.19,302-3616878-6805917,,143233967241,66781740786627,,,
KL593311,KA524662,08.08.19,306-7372123-1841940,,143233967074,12361465380651,,,
KL592484,KA525419,08.08.19,2469641770-1,,143233966336,,,,
KL591522,KA522773,08.08.19,sand-MEHSLH4,,143233966152,,,,
KL592497,KA525409,08.08.19,2469501430,,143233966343,,,,
KL593400,KA524585,08.08.19,306-4617371-5451561,,143233967081,53564398551011,,,
KL593409,KA524577,08.08.19,306-4345016-6600315,,143233967098,25334388384107,,,
KL592502,KA525405,08.08.19,2469483710,,143233966350,,,,
KL591529,KA522766,08.08.19,sand-M89GLH4,,143233966169,,,,
KL593425,KA524562,08.08.19,306-3569265-4607539,,143233967104,14684662624475,,,
KL590665,KA522303,08.08.19,306-4598599-3945119,,143233966954,68026259019643,,,
KL593426,KA524562,08.08.19,306-3569265-4607539,,143233967111,14684662624475,,,
KL598498,KA530029,08.08.19,028-5388227-4950741,DPD Predict,01345057491460,55953947781779,,,
KL590033,KA521655,08.08.19,2463843560,,143233966060,,,,
KL590072,KA521617,08.08.19,2463039320,,143233966077,,,,
KL590076,KA521614,08.08.19,2462985280,,143233966084,,,,
KL590681,KA522289,08.08.19,306-2825734-2295531,,143233966961,63620399386907,,,
KL590279,KA522247,08.08.19,305-8898211-5387518,,143233966909,08494241195611,,,
KL589171,KA521012,08.08.19,303-9316959-5690763,,143233966770,13845597648043,,,
KL590709,KA522088,08.08.19,304-1452985-7624314,,143233966978,55837413758811,,,
KL589404,KA521277,08.08.19,306-2469589-3060365,,143233966794,34533244447539,,,
KL590286,KA522241,08.08.19,305-8183654-2925930,,143233966916,65361886786763,,,
KL590785,KA522023,08.08.19,303-6201048-2204322,,143233967005,03278780207003,,,
KL590337,KA522196,08.08.19,305-3678563-1877117,,143233966923,49592852845051,,,
KL589648,KA520890,08.08.19,302-8279544-9889920,,143233966817,06084826967963,,,
KL590967,KA521869,08.08.19,171-9731197-0812305,,143233967012,22587509957979,,,
KL589751,KA520800,08.08.19,171-5174205-6859530,,143233966824,18875590952027,,,
KL590437,KA522107,08.08.19,304-4069249-0055524,,143233966930,13812620103275,,,
KL590977,KA521860,08.08.19,171-3139942-9070765,,143233967029,06056941010963,,,
KL590661,KA522307,08.08.19,306-4667641-7165915,,143233966947,49578692339115,,,
KL589768,KA520784,08.08.19,028-9474408-0389118,,143233966831,33917766489603,,,
KL586727,KA517990,08.08.19,171-8980235-7989113,,143233965964,40985193087963,,,
KL589866,KA520688,08.08.19,028-1001244-5919513,,143233966862,59905597597147,,,
KL589870,KA520684,08.08.19,028-0673006-9585127,,143233966879,65139753685659,,,
KL589873,KA520681,08.08.19,028-0388115-9961153,,143233966886,39450660302755,,,
KL588101,KA519762,08.08.19,303-5945758-4368330,,143233965988,67084916174795,,,
KL588134,KA519732,08.08.19,303-3896890-4597902,,143233965995,04688745378595,,,
KL588369,KA519515,08.08.19,028-0731869-7849130,,143233966015,55298525056587,,,
KL598499,KA530028,08.08.19,028-5352277-5794706,DPD Predict,01345057491544,47839582758723,,,
KL589113,KA521066,08.08.19,304-3626200-7121938,,,24279319489627,,,
KL590200,KA521699,08.08.19,4289918501-A-1,DPD Predict,01345057491301,,,,
KL588498,KA520252,08.08.19,4285811101-A-1,,143233966022,,,,
KL596326,KA527025,08.08.19,1907311711TXEB0,DPD Predict,,,,,
KL590190,KA521708,08.08.19,4290082702-A-1,DPD Predict,01345057491302,,,,
KL588890,KA520562,08.08.19,sand-MR3PFH4,,143233966039,,,,
KL588903,KA520552,08.08.19,sand-MKB3FH4,,143233966053,,,,
KL590189,KA521708,08.08.19,4290082702-A-1,DPD Predict,01345057491303,,,,
KL590989,KA521851,08.08.19,171-1783433-3741951,DPD Predict,01345057491304,24476468195115,,,
KL589141,KA521041,08.08.19,304-1581662-3430757,,143233966763,51683792214811,,,
KL588790,KA520537,08.08.19,sand-M87QFH4,GLS Normalpaket,352559721424,,,,
KL590974,KA521862,08.08.19,171-4679163-0217938,DPD Predict,01345057491305,00807707746099,,,
KL590970,KA521866,08.08.19,171-9167360-8553104,DPD Predict,01345057491306,10977213455275,,,
KL590498,KA522422,08.08.19,405-7883914-6181167,DPD Predict,01345057491308,36129521433395,,,
KL594329,KA523754,08.08.19,303-1442056-4265147,,,12066252595323,,,
KL594328,KA523754,08.08.19,303-1442056-4265147,,,12066252595323,,,
KL581724,KA514658,08.08.19,sand-MP4CUH4,GLS Normalpaket,352559724371,,,,
KL593007,KA524939,08.08.19,407-8105988-7313933,DPD Predict,01345057491315,55153246711531,,,
KL592984,KA524961,08.08.19,408-5168420-3865131,DPD Predict,01345057491316,22475745765819,,,
KL592981,KA524964,08.08.19,408-5766764-4248336,DPD Predict,01345057491317,06008159924251,,,
KL596813,KA527125,08.08.19,4287580602-A-1,DPD Predict,01345057491336,,,,
KL596592,KA527297,08.08.19,4293621701-A-1,DPD Predict,01345057491338,,,,
KL596332,KA527019,08.08.19,1907311340TYMZP,DPD Predict,01345057491384,,,,
KL596820,KA527119,08.08.19,4276819502-A-1,DPD Predict,01345057491341,,,,
KL596758,KA527162,08.08.19,4290765801-A-1,DPD Predict,01345057491328,,,,
KL596819,KA527119,08.08.19,4276819502-A-1,DPD Predict,01345057491342,,,,
KL596812,KA527126,08.08.19,4287691802-A-1,DPD Predict,01345057491343,,,,
KL596811,KA527127,08.08.19,4288136101-A-1,DPD Predict,01345057491344,,,,
KL593195,KA524764,08.08.19,402-9061301-3534741,DPD Predict,01345057491395,49951729506171,,,
KL596800,KA527132,08.08.19,4289653704-A-1,DPD Predict,01345057491345,,,,
KL593205,KA524757,08.08.19,402-7091085-6269124,DPD Predict,01345057491394,37596804461787,,,
KL596799,KA527133,08.08.19,4289916801-A-1,DPD Predict,01345057491346,,,,
KL593196,KA524764,08.08.19,402-9061301-3534741,DPD Predict,01345057491396,49951729506171,,,
KL592226,KA525103,08.08.19,sand-M3XAGH4,GLS Normalpaket,352559719339,,,,
KL596797,KA527133,08.08.19,4289916801-A-1,DPD Predict,01345057491347,,,,
KL596796,KA527133,08.08.19,4289916801-A-1,DPD Predict,01345057491348,,,,
KL597356,KA528365,08.08.19,1107178391,DPD COD BUS,01345057491363,,,,
KL595144,KA526536,08.08.19,404-1913903-7091542,DPD Predict,01345057491404,54873631988107,,,
KL597357,KA528365,08.08.19,1107178391,DPD COD BUS,01345057491364,,,,
KL586741,KA517975,08.08.19,171-0261795-1896334,,,05298714304979,,,
KL595106,KA526571,08.08.19,406-0599971-8258726,DPD Predict,01345057491405,69708936277267,,,
KL595952,KA526640,08.08.19,sand-123839051130-2139022156002,GLS Normalpaket,352559719391,,,,
KL591973,KA523088,08.08.19,sand-252988901016,GLS Normalpaket,352559719766,,,,
KL588100,KA519762,08.08.19,303-5945758-4368330,,,67084916174795,,,
KL587675,KA520080,08.08.19,403-3951676-3523553,,,65381928639467,,,
KL594291,KA523788,08.08.19,303-2908660-4913920,,,05407696247179,,,
KL596277,KA526905,08.08.19,sand-123583639610-2137481458002,GLS Normalpaket,352559720748,,,,
KL592172,KA525147,08.08.19,sand-MEWSGH4,,143233966275,,,,
KL586228,KA518617,08.08.19,405-3891603-2120348,,,54128575661603,,,
KL592320,KA525277,08.08.19,2466272920,,143233966312,,,,
KL596955,KA528073,08.08.19,sand-MBH7KH4,GLS Normalpaket,352559721172,,,,
KL593354,KA524629,08.08.19,306-5905138-5580313,DPD Predict,01345057491456,43599853674251,,,
KL597329,KA528389,08.08.19,1090611883,GLS Normalpaket,352560297192,,,,
KL588749,KA520480,08.08.19,sand-173923242576-2041432748007,GLS Normalpaket,352559721431,,,,
KL588738,KA520428,08.08.19,sand-172812431311-2041491852007,GLS Normalpaket,352559719001,,,,
KL592186,KA525136,08.08.19,sand-MEUGGH4,GLS Normalpaket,352559719322,,,,
KL595701,KA525869,08.08.19,302-3721663-9493122,,143233966411,51178788190531,,,
KL595713,KA525860,08.08.19,302-2971215-9665937,,143233966428,58428544413851,,,
KL595347,KA526352,08.08.19,305-7709851-4356347,,143233967326,11770259328179,,,
KL596501,KA527370,08.08.19,255-499-645,,143233966558,,,,
KL596987,KA528112,08.08.19,sand-MU7BKH4,,143233966633,,,,
KL597362,KA528360,08.08.19,2473144510,,143233966725,,,,
KL597363,KA528359,08.08.19,2473126840,,143233966732,,,,
KL583264,KA516849,08.08.19,403-0093343-0198708,DPD Predict,01345057491451,33081021071315,,,
KL593254,KA524713,08.08.19,306-9080756-1704332,DPD Predict,01345057491566,52542496823507,,,
KL596594,KA527295,08.08.19,4293568601-A-1,DPD Predict,01345057491337,,,,
KL594732,KA523232,08.08.19,028-3728855-6746765,DPD Predict,01345057491454,42071495425115,,,
KL596591,KA527297,08.08.19,4293621701-A-1,DPD Predict,01345057491339,,,,
KL596590,KA527297,08.08.19,4293621701-A-1,DPD Predict,01345057491340,,,,
KL596791,KA527138,08.08.19,4290218307-A-1,DPD Predict,01345057491349,,,,
KL596785,KA527144,08.08.19,4290304001-A-1,DPD Predict,01345057491352,,,,
KL595441,KA526274,08.08.19,305-2790435-9548331,,143233967357,33046121144283,,,
KL596790,KA527139,08.08.19,4290243701-A-1,DPD Predict,01345057491350,,,,
KL596778,KA527149,08.08.19,4290409402-A-1,DPD Predict,01345057491353,,,,
KL596788,KA527141,08.08.19,4290266002-A-1,DPD Predict,01345057491351,,,,
KL596777,KA527149,08.08.19,4290409402-A-1,DPD Predict,01345057491354,,,,
KL596776,KA527149,08.08.19,4290409402-A-1,DPD Predict,01345057491355,,,,
KL596639,KA527255,08.08.19,4292623801-A-1,DPD Predict,01345057491278,,,,
KL596660,KA527241,08.08.19,4292398601-A-1,DPD Predict,01345057491293,,,,
KL596636,KA527258,08.08.19,4292651801-A-1,DPD Predict,01345057491279,,,,
KL596771,KA527154,08.08.19,4290506102-A-1,DPD Predict,01345057491356,,,,
KL596766,KA527157,08.08.19,4290613102-A-1,DPD Predict,01345057491357,,,,
KL597221,KA491270,08.08.19,4261166802-A,DPD Predict,01345057491294,,,,
KL596650,KA527247,08.08.19,4292458601-A-1,DPD Predict,01345057491365,,,,
KL596737,KA527180,08.08.19,4291173501-A-1,DPD Predict,01345057491366,,,,
KL596733,KA527184,08.08.19,4291262302-A-1,DPD Predict,01345057491367,,,,
KL596658,KA527241,08.08.19,4292398601-A-1,DPD Predict,01345057491368,,,,
KL596597,KA527292,08.08.19,4293494601-A-1,DPD Predict,01345057491280,,,,
KL596724,KA527189,08.08.19,4291356102-A-1,DPD Predict,01345057491284,,,,
KL596723,KA527189,08.08.19,4291356102-A-1,DPD Predict,01345057491285,,,,
KL597222,KA491270,08.08.19,4261166802-A,DPD Predict,01345057491295,,,,
KL596600,KA527289,08.08.19,4293398402-A-1,DPD Predict,01345057491286,,,,
KL596654,KA527244,08.08.19,4292408301-A-1,DPD Predict,01345057491369,,,,
KL593064,KA524886,08.08.19,406-3616041-0233963,DPD Predict,01345057491313,66393997163819,,,
KL596652,KA527246,08.08.19,4292424601-A-1,DPD Predict,01345057491370,,,,
KL596651,KA527247,08.08.19,4292458601-A-1,DPD Predict,01345057491371,,,,
KL596721,KA527191,08.08.19,4291451001-A-1,DPD Predict,01345057491287,,,,
KL593058,KA524891,08.08.19,406-4842939-7113113,DPD Predict,01345057491314,70154096491515,,,
KL596628,KA527266,08.08.19,4292825302-A-1,DPD Predict,01345057491379,,,,
KL596633,KA527261,08.08.19,4292697301-A-1,DPD Predict,01345057491318,,,,
KL596627,KA527266,08.08.19,4292825302-A-1,DPD Predict,01345057491380,,,,
KL596705,KA527207,08.08.19,4291737202-A-1,DPD Predict,01345057491288,,,,
KL596632,KA527262,08.08.19,4292808401-A-1,DPD Predict,01345057491319,,,,
KL596659,KA527241,08.08.19,4292398601-A-1,DPD Predict,01345057491289,,,,
KL596621,KA527270,08.08.19,4293016401-A-1,DPD Predict,01345057491381,,,,
KL596669,KA527234,08.08.19,4292209002-A-1,DPD Predict,01345057491320,,,,
KL596618,KA527273,08.08.19,4293070602-A-1,DPD Predict,01345057491382,,,,
KL596709,KA527203,08.08.19,4291710802-A-1,DPD Predict,01345057491290,,,,
KL596728,KA527186,08.08.19,4291335702-A-1,DPD Predict,01345057491321,,,,
KL596706,KA527206,08.08.19,4291728801-A-1,DPD Predict,01345057491291,,,,
KL596704,KA527207,08.08.19,4291737202-A-1,DPD Predict,01345057491292,,,,
KL596612,KA527279,08.08.19,4293286601-A-1,DPD Predict,01345057491383,,,,
KL596727,KA527187,08.08.19,4291343401-A-1,DPD Predict,01345057491322,,,,
KL596640,KA527255,08.08.19,4292623801-A-1,DPD Predict,01345057491276,,,,
KL596682,KA527224,08.08.19,4291938401-A-1,DPD Predict,01345057491323,,,,
KL596668,KA527234,08.08.19,4292209002-A-1,DPD Predict,01345057491324,,,,
KL596780,KA527147,08.08.19,4290404802-A-1,DPD Predict,01345057491277,,,,
KL596662,KA527239,08.08.19,4292335601-A-1,DPD Predict,01345057491325,,,,
KL596630,KA527264,08.08.19,4292824901-A-1,GLS Normalpaket,352559722759,,,,
KL596643,KA527252,08.08.19,4292565101-A-1,GLS Normalpaket,352559722780,,,,
KL596990,KA528109,08.08.19,sand-MX5BKH4,GLS Paket OVL Berlin,102986807013,,,,
KL598506,KA530021,08.08.19,028-5057342-8711514,DPD Predict,01345057491461,53217940512979,,,
KL597052,KA528161,08.08.19,sand-M4F3KH4,GLS Paket OVL Berlin,102986807051,,,,
KL597016,KA528088,08.08.19,sand-MLSTKH4,GLS Paket OVL Berlin,102986807020,,,,
KL597227,KA528299,08.08.19,2472121510,GLS Paket OVL Berlin,102986807419,,,,
KL593390,KA524594,08.08.19,306-4791936-3826735,DPD Predict,01345057491524,50292630666075,,,
KL597027,KA528175,08.08.19,sand-MCRDKH4,GLS Paket OVL Berlin,102986807044,,,,
KL597074,KA528146,08.08.19,sand-M59QKH4,GLS Paket OVL Berlin,102986807068,,,,
KL597086,KA528139,08.08.19,sand-MTL5KH4,GLS Paket OVL Berlin,102986807075,,,,
KL593386,KA524598,08.08.19,306-4996743-2905960,,,57526950640507,,,
KL597190,KA528186,08.08.19,sand-MSS1KH4,GLS Paket OVL Berlin,102986807198,,,,
KL593410,KA524576,08.08.19,306-4276481-1784316,DPD Predict,01345057491565,10246758827803,,,
KL593417,KA524569,08.08.19,306-3934441-6109147,DPD Predict,01345057491592,69389554969995,,,
KL596986,KA528113,08.08.19,sand-MQFBKH4,GLS Paket OVL Berlin,102986806993,,,,
KL597088,KA528137,08.08.19,sand-MH75KH4,GLS Paket OVL Berlin,102986807082,,,,
KL597118,KA528243,08.08.19,sand-M55XSH4,GLS Paket OVL Berlin,102986807129,,,,
KL597122,KA528240,08.08.19,sand-MYEYSH4,GLS Paket OVL Berlin,102986807136,,,,
KL597368,KA528354,08.08.19,2472972820-2,GLS Paket OVL Berlin,102986807242,,,,
KL597389,KA528334,08.08.19,2472713050,GLS Paket OVL Berlin,102986807259,,,,
KL597364,KA528358,08.08.19,2473118920,GLS Paket OVL Berlin,102986807426,,,,
KL597261,KA528265,08.08.19,43229794,GLS Paket OVL Berlin,102986807228,,,,
KL597485,KA529231,08.08.19,302-4269753-8072313,DPD Predict,01345057491487,53723194819763,,,
KL597490,KA529226,08.08.19,302-3855726-7614706,GLS Normalpaket,352559723664,61711105729779,,,
KL596988,KA528111,08.08.19,sand-MZFBKH4,GLS Paket OVL Berlin,102986807006,,,,
KL597406,KA528318,08.08.19,2472412560,GLS Paket OVL Berlin,102986807266,,,,
KL597092,KA528134,08.08.19,sand-MFC5KH4,GLS Paket OVL Berlin,102986807099,,,,
KL597499,KA529217,08.08.19,302-3205652-9760304,GLS Normalpaket,352559723671,21705767551267,,,
KL597502,KA529214,08.08.19,302-2323060-6883559,DPD Predict,01345057491490,60668499023435,,,
