DO Number,Referenzbeleg,Date,Client Order Reference,Courier,Tracking Reference,Comission,Comission 2,
KL585273,KA517585,08.08.19,1089360473,DPD Predict,01345056172759,,,,
KL580373,KA513464,08.08.19,303-2167452-9030701,GLS Normalpaket,352559720267,50437800689411,,,
KL587283,KA519246,08.08.19,304-5874180-0150765_2,DPD Predict,01345057491623,,,,
KL586774,KA517943,08.08.19,028-7519592-6438762,GLS Normalpaket,352559720458,48004505738459,,,
KL581288,KA514502,08.08.19,306-1661581-0253152,GLS Normalpaket,352559720274,19768946357523,,,
KL589658,KA520879,08.08.19,302-7623030-1562737,GLS Normalpaket,352559720328,40952165769115,,,
KL587692,KA520064,08.08.19,306-9475021-1005142,GLS Normalpaket,352559720304,36528063751291,,,
KL589426,KA521259,08.08.19,306-1119973-9038738,GLS Normalpaket,352559720335,45161611935275,,,
KL594972,KA526138,08.08.19,304-2854014-1391553,DPD Predict,01345057491504,57335836089203,,,
KL597266,KA528443,08.08.19,10124991,GLS Normalpaket,352559720380,,,,
KL597493,KA529223,08.08.19,302-3674072-6151515,DPD Predict,01345057491505,67848275529987,,,
KL598701,KA530152,08.08.19,302-7209257-5485161,DPD Predict,01345057491547,06867866063091,,,
KL597268,KA528442,08.08.19,10124018,GLS Normalpaket,352559720397,,,,
KL597273,KA528437,08.08.19,10099818,GLS Normalpaket,352559720403,,,,
KL594406,KA523684,08.08.19,302-9376170-5041100,GLS Normalpaket,352559720359,52352105752187,,,
KL597274,KA528437,08.08.19,10099818,GLS Normalpaket,352559720410,,,,
KL597427,KA528448,08.08.19,830-657-951,GLS Normalpaket,352559720427,,,,
KL597430,KA528446,08.08.19,792-870-717,GLS Normalpaket,352559720366,,,,
KL597265,KA528443,08.08.19,10124991,GLS Normalpaket,352559720373,,,,
KL597429,KA528446,08.08.19,792-870-717,GLS Normalpaket,352559720434,,,,
KL598205,KA529784,08.08.19,1908061317SUPBD,GLS Normalpaket,352559724562,,,,
KL597671,KA529445,08.08.19,304-7943238-6493118,GLS Normalpaket,352559722865,33640912161459,,,
KL598206,KA529784,08.08.19,1908061317SUPBD,GLS Normalpaket,352559724579,,,,
KL595098,KA526579,08.08.19,406-5981122-8943517,DPD Predict,01345057491361,58871147211971,,,
KL598197,KA529791,08.08.19,4270957302-A-1,GLS Normalpaket,352559724586,,,,
KL598198,KA529791,08.08.19,4270957302-A-1,GLS Normalpaket,352559724593,,,,
KL598230,KA529760,08.08.19,1908051845T0JPT,GLS Normalpaket,352559724609,,,,
KL598231,KA529760,08.08.19,1908051845T0JPT,GLS Normalpaket,352559724616,,,,
KL598237,KA529754,08.08.19,1908051501T29K3,GLS Normalpaket,352559724623,,,,
KL598472,KA530052,08.08.19,028-7985736-3981928,GLS Normalpaket,352559724708,60963032273227,,,
KL597590,KA529133,08.08.19,028-5438892-9779553,GLS Normalpaket,352559722797,66391915441283,,,
KL598238,KA529754,08.08.19,1908051501T29K3,GLS Normalpaket,352559724630,,,,
KL597599,KA529511,08.08.19,305-5274510-1141921,GLS Normalpaket,352559722803,27607997862027,,,
KL598333,KA529309,08.08.19,303-2954152-6421164,GLS Normalpaket,352559724647,44240063090763,,,
KL597624,KA529490,08.08.19,305-3274961-1118704,GLS Normalpaket,352559722810,53902320005403,,,
KL598365,KA529280,08.08.19,302-9616664-0605965,GLS Normalpaket,352559724654,66202988339539,,,
KL598372,KA529273,08.08.19,302-8992602-1821945,GLS Normalpaket,352559724661,42231784608819,,,
KL590177,KA521719,08.08.19,1090102775,GLS Normalpaket,352560297123,,,,
KL597629,KA529485,08.08.19,305-2913031-1761913,GLS Normalpaket,352559722827,14446748986827,,,
KL597646,KA529470,08.08.19,305-0365944-0298716,GLS Normalpaket,352559722834,19939508148243,,,
KL597692,KA529425,08.08.19,304-5760237-4073919,GLS Normalpaket,352559722872,27807977744587,,,
KL590167,KA521728,08.08.19,1090132889,GLS Normalpaket,352560297147,,,,
KL597729,KA529390,08.08.19,304-1461295-6276359,GLS Normalpaket,352559722889,31428055510235,,,
KL596076,KA526785,08.08.19,sand-123825455763-2138885830002,,352559721530,,,,
KL597681,KA529436,08.08.19,304-7246288-3931525,GLS Normalpaket,352559723251,43984337402123,,,
KL597824,KA529692,08.08.19,405-5860416-8540313,GLS Normalpaket,352559723268,08169719599667,,,
KL589759,KA520792,08.08.19,028-9855530-0721105,GLS Normalpaket,352559720496,38556849334995,,,
KL597809,KA529706,08.08.19,406-1663920-6874702,GLS Normalpaket,352559723381,04888641465891,,,
KL597065,KA528153,08.08.19,sand-123352643745-2139237528002,,352559721691,,,,
KL591844,KA523019,08.08.19,sand-123588883369-2138112510002,,143233966220,,,,
KL597654,KA529462,08.08.19,304-9633880-5239502,GLS Normalpaket,352559722841,09477022652083,,,
KL596001,KA526664,08.08.19,sand-172552676624-2043191478007,DPD Predict,,,,,
KL598223,KA529768,08.08.19,1908052245SYT8O,DPD Predict,01345057491464,,,,
KL597668,KA529448,08.08.19,304-8132343-6349147,DPD Predict,01345057491468,33407514651707,,,
KL583786,KA516393,08.08.19,305-3086710-1897153,GLS Normalpaket,352559720533,15669688581683,,,
KL598712,KA530143,08.08.19,302-5965132-3791567,DPD Predict,01345057491581,15905443011435,,,
KL597454,KA529126,08.08.19,028-3841794-7082735,DPD Predict,01345057491471,18251242482843,,,
KL598699,KA530154,08.08.19,302-7301816-9023565,DPD Predict,01345057491582,01738643301683,,,
KL589618,KA520910,08.08.19,302-9921610-9240363,GLS Normalpaket,352559720557,31238780097219,,,
KL597769,KA529350,08.08.19,303-7796055-9837116,DPD Predict,01345057491472,03487899160659,,,
KL597911,KA529609,08.08.19,306-5658037-5404330,DPD Predict,01345057491585,11455052736915,,,
KL597930,KA529592,08.08.19,306-3206743-6750760,DPD Predict,01345057491586,59131892552003,,,
KL597152,KA528214,08.08.19,sand-M56HKH4,,352559721806,,,,
KL597193,KA528183,08.08.19,sand-173896966437-2043470615007,,352559721813,,,,
KL597285,KA528428,08.08.19,1090769113,,352560297246,,,,
KL592807,KA523499,08.08.19,302-2323464-3669920,GLS Normalpaket,352559721844,14364585731811,,,
KL596629,KA527265,08.08.19,4292824901-A-2,DPD Predict,01345057491331,,,,
KL592806,KA523499,08.08.19,302-2323464-3669920,GLS Normalpaket,352559721851,14364585731811,,,
