DO Number;Referenzbeleg;Date;Client Order Reference;Courier;Tracking Reference;Comission;Comission 2
KL577203;KA503841;23.07.2019;305-3151554-7807547;DPD Predict;1345057486167;1,44072E+13;
KL577340;KA511359;23.07.2019;305-3152742-9731529;;143233959284;6,43896E+13;
KL577052;KA510232;23.07.2019;305-3180222-7163531;DPD Predict;1345057486791;4,10923E+13;
KL574842;KA509294;23.07.2019;305-3241119-7837115;GLS Normalpaket;1345057485907;;
KL574840;KA509296;23.07.2019;305-3262091-7697155;DPD Predict;1345057487064;4,46288E+13;
KL577051;KA510233;23.07.2019;305-3318310-3626767;DPD Predict;1345057486912;7,76046E+12;
KL568754;KA503849;23.07.2019;305-3617799-2504314;DPD Predict;1345057486267;4,31698E+13;
KL577337;KA511362;23.07.2019;305-3799447-2149943;;143233958867;3,22179E+13;
KL577336;KA511363;23.07.2019;305-3810337-8876341;;143233958850;1,77007E+13;
KL577335;KA511364;23.07.2019;305-3866261-9825114;DPD Predict;1345057486421;3,15646E+13;
KL577333;KA511366;23.07.2019;305-4148233-1286761;GLS Normalpaket;352559612975;5,73299E+13;
KL574818;KA509313;23.07.2019;305-4220152-3602720;DPD Predict;1345057487065;1,65295E+13;
KL574819;KA509313;23.07.2019;305-4220152-3602720;DPD Predict;1345057487066;1,65295E+13;
KL574820;KA509313;23.07.2019;305-4220152-3602720;DPD Predict;1345057487067;1,65295E+13;
KL000603Mega;KA509314;23.07.2019;305-4220249-2709121;GLS Normalpaket;352559614740;1,26894E+13;
KL577331;KA511368;23.07.2019;305-4314459-5245155;DPD Predict;1345057486694;1,87249E+13;
KL577330;KA511369;23.07.2019;305-4337474-9762729;GLS Normalpaket;352559617789;4,19603E+13;
KL577329;KA511369;23.07.2019;305-4337474-9762729;GLS Normalpaket;352559617796;4,19603E+13;
KL577327;KA511369;23.07.2019;305-4337474-9762729;GLS Normalpaket;352559617802;8,02915E+12;
KL577328;KA511369;23.07.2019;305-4337474-9762729;GLS Normalpaket;352559617819;8,02915E+12;
KL574812;KA509319;23.07.2019;305-4348682-9521137;DPD Predict;1345057486302;2,21771E+13;
KL577050;KA510234;23.07.2019;305-4351489-6225940;DPD Predict;1345057486873;1,79667E+13;
KL577326;KA511370;23.07.2019;305-4408786-9061144;DPD Predict;1345057486820;4,21228E+13;
KL574810;KA509321;23.07.2019;305-4418598-1445929;;352559619349;5,70271E+13;
KL574809;KA509321;23.07.2019;305-4418598-1445929;;352559619356;5,70271E+13;
KL574807;KA509323;23.07.2019;305-4434861-6677907;DPD Predict;1345057486079;1,8808E+13;
KL574804;KA509326;23.07.2019;305-4522605-9003530;DPD Predict;1345057487068;6,70412E+13;
KL577325;KA511371;23.07.2019;305-4534521-8519515;DPD Predict;1345057486297;6,30394E+13;
KL574799;KA509329;23.07.2019;305-4638671-8363522;;352559620796;1,55056E+13;
KL577324;KA511372;23.07.2019;305-4795312-2394766;GLS Normalpaket;352559612982;8,17033E+12;
KL574794;KA509332;23.07.2019;305-4868062-5537944;GLS Normalpaket;352559614344;5,38731E+13;
KL574792;KA509334;23.07.2019;305-4964981-1845125;DPD Predict;1345057487069;6,1344E+13;
KL577323;KA511373;23.07.2019;305-5007891-1357165;GLS Normalpaket;352559616867;2,78019E+13;
KL577322;KA511374;23.07.2019;305-5105631-7544324;DPD Predict;1345057486093;5,87613E+13;
KL573008;KA507520;23.07.2019;305-5118313-0980325;GLS Normalpaket;352559615235;6,1218E+13;
KL570984;KA505393;23.07.2019;305-5175981-9377102;GLS Normalpaket;352559613736;2,76565E+13;
KL573006;KA507522;23.07.2019;305-5196777-4689961;DPD Predict;1345057486445;2,00295E+13;
KL574787;KA509339;23.07.2019;305-5245881-0811547;DPD Predict;1345057487070;4,89046E+13;
KL577319;KA511377;23.07.2019;305-5610739-7966761;GLS Normalpaket;352559612999;1,64124E+13;
KL577048;KA510236;23.07.2019;305-5693822-8086710;;143233958775;4,40885E+13;
KL574775;KA509351;23.07.2019;305-5801290-8494720;DPD Predict;1345057486775;4,6468E+13;
KL577317;KA511379;23.07.2019;305-5826481-3739513;GLS Normalpaket;352559615419;5,93461E+13;
KL574773;KA509353;23.07.2019;305-5840759-7995513;DPD Predict;1345057486885;5,94395E+13;
KL577047;KA510237;23.07.2019;305-6038507-5265109;DPD Predict;1345057486192;1,18752E+13;
KL000602Mega;KA509357;23.07.2019;305-6121990-2622745;GLS Normalpaket;352559614757;4,40243E+13;
KL568692;KA503905;23.07.2019;305-6360882-5081167;DPD Predict;1345057486428;1,22337E+13;
KL577316;KA511380;23.07.2019;305-6441164-7109111;DPD Predict;1345057486381;3,22438E+13;
KL574762;KA509362;23.07.2019;305-6451052-0881923;GLS Normalpaket;352559616195;2,64298E+13;
KL577315;KA511381;23.07.2019;305-6530348-6025940;GLS Normalpaket;352559622820;1,59123E+13;
KL577314;KA511382;23.07.2019;305-6655104-5553128;GLS Normalpaket;352559623179;1,51744E+13;
KL577313;KA511382;23.07.2019;305-6655104-5553128;GLS Normalpaket;352559623186;1,51744E+13;
KL570962;KA505414;23.07.2019;305-6784619-6145957;GLS Normalpaket;352559616324;2,29964E+13;
KL570963;KA505414;23.07.2019;305-6784619-6145957;GLS Normalpaket;352559616331;2,29964E+13;
KL577310;KA511385;23.07.2019;305-6961155-7527565;GLS Normalpaket;352559623735;3,03863E+13;
KL574752;KA509371;23.07.2019;305-7000909-1059560;GLS Normalpaket;352559615136;5,91791E+12;
KL570953;KA505421;23.07.2019;305-7027616-5831556;DPD Predict;1345057486437;3,34685E+13;
KL577044;KA510240;23.07.2019;305-7131130-1530727;DPD Predict;1345057486792;5,43075E+13;
KL574750;KA509373;23.07.2019;305-7189949-6077909;GLS Normalpaket;352559623001;5,03449E+13;
KL574749;KA509373;23.07.2019;305-7189949-6077909;GLS Normalpaket;352559623018;5,03449E+13;
KL577308;KA511387;23.07.2019;305-7241881-6719567;GLS Paket OVL Berlin;102986794368;2,16591E+13;
KL574746;KA509376;23.07.2019;305-7372577-2454750;DPD Predict;1345057486149;5,75541E+13;
KL574742;KA509380;23.07.2019;305-7442228-9340331;GLS Normalpaket;352559615303;5,42532E+13;
KL577306;KA511389;23.07.2019;305-7456983-2928336;DPD Predict;1345057486928;1,68012E+12;
KL574741;KA509381;23.07.2019;305-7467058-4393962;GLS Normalpaket;352559616201;5,55778E+13;
KL574740;KA509382;23.07.2019;305-7478468-0187544;DPD Predict;1345057486922;2,86231E+13;
KL574734;KA509387;23.07.2019;305-7615438-6617926;DPD Predict;1345057486278;2,53453E+13;
KL574732;KA509389;23.07.2019;305-7674030-2385161;DPD Predict;1345057486451;9,99101E+12;
KL577305;KA511390;23.07.2019;305-7681396-4917106;GLS Normalpaket;352559616874;2,70606E+13;
KL572995;KA507533;23.07.2019;305-7737008-9186721;DPD Predict;1345057486678;1,49879E+13;
KL572994;KA507533;23.07.2019;305-7737008-9186721;DPD Predict;1345057486677;1,49879E+13;
KL574730;KA509390;23.07.2019;305-7747303-2420324;;352559620314;4,7444E+12;
KL574731;KA509390;23.07.2019;305-7747303-2420324;;352559620321;4,7444E+12;
KL577304;KA511391;23.07.2019;305-7790641-7909962;;352559620437;6,83401E+13;
KL577303;KA511392;23.07.2019;305-7860124-1274769;;352559622349;2,47748E+13;
KL574728;KA509392;23.07.2019;305-7906922-4364309;;352559619363;3,90506E+13;
KL574727;KA509392;23.07.2019;305-7906922-4364309;;352559619370;3,90506E+13;
KL577042;KA510242;23.07.2019;305-8074020-0972307;DPD Predict;1345057487085;2,57158E+13;
KL577301;KA511394;23.07.2019;305-8107080-1091525;;352559617536;5,21153E+13;
KL574721;KA509397;23.07.2019;305-8113792-8165105;DPD Predict;1345057486484;6,05882E+13;
KL574718;KA509400;23.07.2019;305-8220203-1009968;GLS Normalpaket;352559622974;4,41834E+13;
KL577300;KA511395;23.07.2019;305-8298016-8913905;DPD Predict;1345057486821;8,92157E+12;
KL577299;KA511396;23.07.2019;305-8307256-6249952;;352559621298;3,92053E+13;
KL577298;KA511396;23.07.2019;305-8307256-6249952;;352559621304;3,92053E+13;
KL571696;KA506624;23.07.2019;305-8361670-6048326;DPD Predict;1345057486065;;
KL577041;KA510243;23.07.2019;305-8362180-3817908;GLS Normalpaket;352559614443;7,7754E+12;
KL577040;KA510244;23.07.2019;305-8396762-8733966;GLS Normalpaket;352559623087;1,16516E+13;
KL577039;KA510245;23.07.2019;305-8402610-2469958;GLS Normalpaket;352559612814;1,3959E+13;
KL574710;KA509407;23.07.2019;305-8498599-3848328;;352559621762;8,95845E+12;
KL574709;KA509408;23.07.2019;305-8511954-2194748;DPD Predict;1345057486776;5,67765E+13;
KL577297;KA511397;23.07.2019;305-8518726-0807538;GLS Normalpaket;352559613002;5,52912E+12;
KL568567;KA503939;23.07.2019;305-8520355-5058769;DPD Predict;1345057486053;5,23324E+13;
KL577296;KA511398;23.07.2019;305-8522113-9701923;DPD Predict;1345057486909;7,58863E+12;
KL577295;KA511399;23.07.2019;305-8588090-6123517;GLS Normalpaket;352559612661;3,3104E+13;
KL572992;KA507535;23.07.2019;305-8614478-9876302;GLS Normalpaket;352559623469;2,71469E+13;
KL574703;KA509413;23.07.2019;305-8664174-9241916;GLS Normalpaket;352559612395;5,35128E+13;
KL574702;KA509414;23.07.2019;305-8669477-6969102;DPD Predict;1345057487071;1,96543E+12;
KL577294;KA511400;23.07.2019;305-8702497-5445140;GLS Normalpaket;352559613019;5,31259E+13;
KL574701;KA509415;23.07.2019;305-8740818-1709140;DPD Predict;1345057487072;5,54278E+11;
KL574700;KA509416;23.07.2019;305-8745315-4754768;;352559621571;2,91772E+13;
KL577293;KA511401;23.07.2019;305-8817209-8253107;GLS Normalpaket;352559616881;2,33851E+13;
KL572989;KA507538;23.07.2019;305-8918025-9949922;GLS Normalpaket;352559623513;3,54429E+13;
KL574695;KA509421;23.07.2019;305-8922791-3087566;GLS Normalpaket;352559615310;3,46668E+13;
KL577292;KA511402;23.07.2019;305-8937916-8884360;DPD Predict;1345057486394;2,30686E+13;
KL574693;KA509423;23.07.2019;305-9064693-7487535;DPD Predict;1345057486777;2,00769E+11;
